community,region,area_sqm,floor,orientation,decoration,build_year,total_price_wan,unit_price_yuan_per_sqm,source_file,source
浦江瑞和城贰街区(二期),,,,,简单装修,,,,dataset.csv,anjuke_kaggle
金谊河畔,,,,,精装修,,,,dataset.csv,anjuke_kaggle
地杰国际城D街坊,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
三林新村(136弄),,,,,精装修,,,,dataset.csv,anjuke_kaggle
凯旋汇,,,,,精装修,,,,dataset.csv,anjuke_kaggle
学前二村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
凌兆五村(586弄),,,,,精装修,,,,dataset.csv,anjuke_kaggle
康桥花园,,,,,精装修,,,,dataset.csv,anjuke_kaggle
梅园三街坊,,,,,精装修,,,,dataset.csv,anjuke_kaggle
湾流域城(二期公寓住宅),,,,,精装修,,,,dataset.csv,anjuke_kaggle
梅园三街坊,,,,,精装修,,,,dataset.csv,anjuke_kaggle
爱博三村,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
三林世博家园(AB区),,,,,简单装修,,,,dataset.csv,anjuke_kaggle
大华锦绣四季(新房),,,,,毛坯,,,,dataset.csv,anjuke_kaggle
金色航城池鑫苑,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
万科海上传奇(一二期),,,,,精装修,,,,dataset.csv,anjuke_kaggle
林茵湖畔园东区(别墅),,,,,精装修,,,,dataset.csv,anjuke_kaggle
京浦小区,,,,,精装修,,,,dataset.csv,anjuke_kaggle
爱博三村,,,,,豪华装修,,,,dataset.csv,anjuke_kaggle
保利林语溪(公寓住宅),,,,,精装修,,,,dataset.csv,anjuke_kaggle
虹桥1号,,,,,精装修,,,,dataset.csv,anjuke_kaggle
万科海上传奇(三期),,,,,精装修,,,,dataset.csv,anjuke_kaggle
景舒苑二村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
学前一村,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
富康别墅,,,,,毛坯,,,,dataset.csv,anjuke_kaggle
三林苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
梅园三街坊,,,,,精装修,,,,dataset.csv,anjuke_kaggle
凌桥苑,,,,,毛坯,,,,dataset.csv,anjuke_kaggle
爱博六村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
爱法奥朗新庄园,,,,,精装修,,,,dataset.csv,anjuke_kaggle
凯旋汇,,,,,精装修,,,,dataset.csv,anjuke_kaggle
湾流域城(一期),,,,,精装修,,,,dataset.csv,anjuke_kaggle
高行绿洲五期,,,,,精装修,,,,dataset.csv,anjuke_kaggle
爱博二村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
鹤沙航城汇贤雅苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
梅园三街坊,,,,,精装修,,,,dataset.csv,anjuke_kaggle
杉林新月家园,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
爱博二村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
永久城市花园,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
凯旋汇,,,,,豪华装修,,,,dataset.csv,anjuke_kaggle
梅园三街坊,,,,,精装修,,,,dataset.csv,anjuke_kaggle
浦江瑞和城贰街区(二期),,,,,毛坯,,,,dataset.csv,anjuke_kaggle
爱博一村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
凯旋汇,,,,,精装修,,,,dataset.csv,anjuke_kaggle
金臣别墅,,,,,毛坯,,,,dataset.csv,anjuke_kaggle
万科金色城市,,,,,精装修,,,,dataset.csv,anjuke_kaggle
盛世天地,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
滨浦新苑七村,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
凯旋汇,,,,,精装修,,,,dataset.csv,anjuke_kaggle
永泰花苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
滴水湖馨苑悦湾,,,,,毛坯,,,,dataset.csv,anjuke_kaggle
高行绿洲六期,,,,,精装修,,,,dataset.csv,anjuke_kaggle
金沁苑(南区),,,,,简单装修,,,,dataset.csv,anjuke_kaggle
绿洲康城金帝豪苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
聚航苑,,,,,毛坯,,,,dataset.csv,anjuke_kaggle
和康苑,,,,,毛坯,,,,dataset.csv,anjuke_kaggle
联丰苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
爱博三村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
万科海上传奇(一二期),,,,,精装修,,,,dataset.csv,anjuke_kaggle
馨和雅苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
梅园三街坊,,,,,精装修,,,,dataset.csv,anjuke_kaggle
爱博四村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
梅园三街坊,,,,,精装修,,,,dataset.csv,anjuke_kaggle
永泰花苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
爱博二村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
浦江瑞和城陆街区(南),,,,,毛坯,,,,dataset.csv,anjuke_kaggle
锦绣华都,,,,,毛坯,,,,dataset.csv,anjuke_kaggle
三林新村(258弄),,,,,精装修,,,,dataset.csv,anjuke_kaggle
爱博三村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
万科金域澜湾鹭语墅,,,,,精装修,,,,dataset.csv,anjuke_kaggle
爱博六村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
金纬苑,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
梅园三街坊,,,,,精装修,,,,dataset.csv,anjuke_kaggle
保利铃兰公馆(公寓住宅),,,,,毛坯,,,,dataset.csv,anjuke_kaggle
鹤沙航城东茗苑(东区),,,,,精装修,,,,dataset.csv,anjuke_kaggle
爱博三村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
